ARCH 494,4.0," ARCH 493 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485A80>>
ARCH 495,4.0," ARCH 494 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485B70>>
ARCH 496,8.0," ARCH 363 [Min Grade: D] and ARCH 143 [Min Grade: C-] and (ARCH 134 [Min Grade: C-] or ARCH 153 [Min Grade: C-] or ARCH 226 [Min Grade: C-]) and (ARCH 263 [Min Grade: C-] and ARCH 273 [Min Grade: C-]) or ARCH 379 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83485C60>>
ARCH 497,8.0," ARCH 496 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83486110>>
ARCH 498,8.0," ARCH 497 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83486200>>
ARCH I199,0.0-12.0,,"[False, False, False, False]",
ARCH I299,0.0-12.0,,"[False, False, False, False]",
ARCH I399,0.5-12.0,,"[False, False, False, False]",
ARCH I499,0.0-12.0," ARCH 143 [Min Grade: C]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834865C0>>
ARCH T180,0.0-12.0,,"[False, False, False, False]",
ARCH T280,0.0-12.0,,"[False, False, False, False]",
ARCH T380,0.0-12.0,,"[True, True, False, True]",
ARCH T480,1.0-6.0," ARCH 143 [Min Grade: C]
","[True, True, True, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83486980>>
ARTH 101,3.0,,"[True, True, False, True]",
ARTH 102,3.0,,"[True, True, True, True]",
ARTH 103,3.0,,"[True, True, True, True]",
ARTH 150,3.0,,"[False, False, True, False]", Can enroll if classification is Freshman or Sophomore .
ARTH 200,3.0,,"[False, True, False, False]",
ARTH 300 [WI],3.0,,"[True, True, True, True]", Cannot enroll if classification is Freshman
ARTH 301,3.0,,"[True, False, False, False]",
ARTH 302,3.0,,"[False, True, False, False]",
ARTH 303,3.0,,"[False, True, False, False]",
ARTH 304,3.0,,"[False, False, False, False]",
ARTH 312,3.0,,"[False, False, False, False]",
ARTH 313,3.0,,"[False, False, True, False]",
ARTH 314,3.0,,"[False, True, False, False]",
ARTH 315,3.0,,"[False, False, True, False]",
ARTH 316,3.0,,"[False, True, False, False]",
ARTH 318,3.0,,"[False, False, False, False]",
ARTH 321,3.0,,"[False, False, False, False]",
ARTH 325,3.0,,"[False, False, False, False]",
ARTH 326,3.0,,"[False, False, False, False]",
ARTH 327,3.0,,"[False, False, True, False]",
ARTH 328,3.0,,"[False, False, False, False]",
ARTH 331 [WI],3.0,,"[True, False, False, False]", Cannot enroll if classification is Freshman
ARTH 335 [WI],3.0,,"[True, False, True, False]", Cannot enroll if classification is Freshman
ARTH 336 [WI],3.0,,"[False, True, False, False]", Cannot enroll if classification is Freshman
ARTH 337,3.0,,"[True, False, False, False]", Cannot enroll if classification is Freshman
ARTH 340,3.0,,"[False, False, True, False]",
ARTH 400,3.0,,"[False, False, False, False]",
ARTH 477,3.0,,"[False, False, False, False]", Can enroll if classification is Junior or Senior.
ARTH I199,0.5-12.0,,"[False, False, False, False]",
ARTH I299,0.5-12.0,,"[False, False, False, False]",
ARTH I399,0.5-12.0,,"[False, False, False, False]",
ARTH I499,0.5-12.0,,"[False, False, False, False]",
ARTH T180,0.0-12.0,,"[False, False, False, False]",
ARTH T280,0.0-12.0,,"[False, False, False, False]",
ARTH T380,0.0-12.0,,"[True, True, True, True]",
ARTH T480,3.0,,"[False, False, True, False]",
